id,danmuku_len
1-188189-000039-000049,36
1-188189-000112-000122,55
1-188189-000137-000147,191
1-188189-000201-000211,57
1-294113-000000-000010,288
1-294113-000011-000021,238
1-294113-000033-000043,43
1-294113-000045-000055,156
1-1065435-000010-000020,125
1-1065435-000227-000237,82
1-1732361-000001-000011,63
1-1732361-000021-000031,88
1-2285643-000045-000055,90
1-2384563-000050-000100,132
1-2520183-000014-000024,80
1-2660693-000058-000108,88
1-3045957-000149-000159,47
1-3138116-000024-000034,87
1-3201662-000035-000045,159
1-3545880-000004-000014,176
1-4269607-000002-000012,151
2-673325-000200-000210,105
2-1065435-000102-000112,94
2-1558545-000045-000055,116
2-1734827-000020-000030,84
2-1885599-000012-000022,116
2-1885599-000135-000145,128
2-1984284-000017-000027,115
2-2037030-000145-000155,172
2-2147587-000145-000155,94
2-2285643-000015-000025,108
2-2384563-000015-000025,85
2-2527417-000035-000045,89
2-2660693-000115-000125,49
2-2810002-000125-000135,57
2-2941599-000131-000141,104
2-3048829-000155-000205,130
2-3138116-000041-000051,126
2-3201662-000017-000027,359
2-3274786-000141-000151,105
2-3382615-000110-000120,145
2-3545880-000129-000139,74
2-4290449-000124-000134,145
3-673325-000005-000015,134
3-1065435-000215-000225,215
3-1558545-000045-000055,174
3-1734827-000002-000012,92
3-1885739-000103-000113,260
3-1984284-000048-000058,106
3-2037030-000139-000149,127
3-2147587-000100-000110,166
3-2288797-000050-000100,105
3-2384563-000145-000155,89
3-3049195-000021-000031,280
3-3138260-000103-000113,45
3-3249085-000020-000030,177
3-3277673-000123-000133,133
3-3383278-000102-000112,128
3-3545880-000141-000151,59
3-4290449-000002-000012,83
4-673325-000206-000216,75
4-1065435-000034-000044,139
4-1571353-000007-000012,29
4-1734827-000000-000021,96
4-1888229-000118-000128,130
4-1984312-000131-000138,128
4-2037030-000000-000012,264
4-2147587-000115-000125,157
4-2384563-000023-000033,204
4-2527484-000050-000100,301
4-2814099-000035-000045,156
4-2944862-000023-000033,170
4-3049195-000031-000041,370
4-3138534-000100-000115,200
4-3249085-000117-000128,235
4-3281820-000206-000216,221
46-2561986-000041-000051,47
46-2398015-000232-000246,148
46-2398015-000158-000209,75
46-2154596-000000-000012,65
46-2049846-000016-000026,77
46-1990581-000000-000005,42
46-1917741-000038-000048,12
46-1767138-000002-000017,58
46-1575487-000107-000117,86
46-1243905-000055-000105,67
46-726546-000219-000235,26
46-726546-000007-000018,29
46-330504-000033-000046,90
45-4884208-000145-000153,14
45-4710330-000111-000121,95
45-3400244-000000-000016,79
45-3303618-000027-000040,98
45-3176092-000042-000058,58
45-2992390-000028-000037,22
45-2879712-000227-000252,50
45-2754180-000044-000101,24
45-2398015-000051-000113,27
45-2398015-000007-000022,36
45-2289400-000140-000148,11
45-2154596-000113-000140,43
45-2154596-000000-000025,23
45-2049846-000105-000125,14
45-1990581-000241-000253,27
45-1990581-000056-000115,28
45-1990581-000009-000025,10
45-1767138-000016-000028,48
45-1575487-000205-000220,59
45-1575487-000117-000132,32
45-1243905-000003-000013,84
44-4884208-000010-000025,22
44-4710330-000026-000035,18
44-3303618-000057-000108,45
44-2879712-000218-000244,74
44-2879712-000106-000120,37
44-2754180-000024-000040,50
44-2558060-000113-000120,30
44-2558060-000012-000026,29
44-2289400-000013-000041,24
44-2154596-000214-000230,35
44-2154596-000139-000158,37
44-2154596-000052-000110,30
44-2154596-000000-000020,56
44-2049846-000048-000105,57
44-1915618-000042-000108,25
44-1915618-000000-000036,43
44-1767138-000033-000047,14
44-1575487-000111-000126,55
44-1575487-000000-000028,75
44-1243905-000030-000049,62
44-726546-000203-000223,22
43-4884208-000054-000101,31
43-4710330-000020-000035,21
43-4043272-000203-000220,9
43-3586495-000018-000029,69
43-3400029-000212-000225,34
43-3303618-000054-000105,30
43-3176092-000003-000037,54
43-2879712-000157-000222,38
43-2754180-000037-000100,23
43-2553670-000204-000228,56
43-2553670-000028-000045,52
43-2289400-000146-000200,49
43-2154596-000112-000128,38
43-2154596-000026-000046,33
43-2049846-000048-000107,31
43-1989185-000032-000045,30
43-1915618-000218-000240,45
43-1915618-000059-000125,13
43-1915618-000000-000009,16
43-1575487-000126-000141,101
43-1238784-000026-000043,34
43-726546-000249-000257,35
42-4881944-000013-000028,36
42-4707490-000009-000019,25
42-3954629-000034-000047,61
42-3586495-000029-000041,25
42-3398864-000105-000116,43
42-3176092-000214-000224,46
42-2982995-000022-000036,37
42-2879712-000020-000043,59
42-2754180-000122-000135,34
42-2553670-000200-000215,39
42-2397665-000151-000200,25
42-2289400-000211-000237,20
42-2154596-000118-000130,95
42-2154596-000027-000038,28
42-2049846-000247-000304,78
42-2049846-000145-000200,35
42-1989185-000046-000102,13
42-1915618-000110-000127,33
42-1766845-000050-000059,22
42-1766845-000011-000020,43
39-389503-000011-000024,76
39-2049846-000030-000052,245
39-2154596-000042-000052,55
39-2397665-000024-000033,143
39-2877239-000014-000030,32
39-3397859-000004-000013,81
39-1756772-000000-000018,110
39-2289400-000000-000013,175
39-2739984-000000-000015,47
39-4699043-000000-000010,113
39-1574202-000053-000102,107
39-2982995-000053-000109,65
39-4868546-000056-000112,162
38-389503-000020-000033,101
38-1574202-000031-000045,97
38-2552691-000010-000016,56
38-3299671-000000-000015,126
38-4691871-000022-000030,142
38-4864353-000040-000050,47
38-4864353-000006-000018,60
37-726546-000107-000130,57
37-726546-000244-000306,47
37-1238784-000232-000245,78
37-1238784-000000-000020,72
37-1574202-000010-000020,102
37-1756772-000000-000012,140
37-1915618-000147-000200,115
37-1987331-000244-000307,118
37-2049846-000000-000016,121
37-2154596-000048-000106,76
37-2154596-000144-000204,70
